,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,71,75,34.52,light intensity drizzle
1,Kapaa,US,22.0752,-159.319,75.52,79,75,3.0,broken clouds
2,Karratha,AU,-20.7377,116.8463,91.8,21,2,14.38,clear sky
3,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,78,77,16.84,broken clouds
4,Poso,ID,-1.3959,120.7524,78.48,84,85,4.14,overcast clouds
5,Nortelandia,BR,-14.4547,-56.8028,76.91,88,100,5.59,overcast clouds
6,Tura,IN,25.5198,90.2201,58.01,65,3,3.78,clear sky
7,Hami,CN,42.8,93.45,24.58,43,0,6.44,clear sky
8,Fortuna,US,40.5982,-124.1573,48.65,76,90,1.01,overcast clouds
9,Xinzhi,CN,36.4989,111.7047,34.93,39,0,1.41,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,99,3.0,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,51.12,50,72,26.22,broken clouds
12,Ballina,AU,-28.8667,153.5667,66.38,92,65,8.05,broken clouds
13,Bredasdorp,ZA,-34.5322,20.0403,68.29,69,100,8.05,overcast clouds
14,Jamestown,US,42.097,-79.2353,39.52,69,20,15.01,few clouds
15,Half Moon Bay,US,37.4636,-122.4286,52.59,85,90,5.01,overcast clouds
16,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,75,11.5,broken clouds
17,Asosa,ET,10.0667,34.5333,70.2,23,36,2.82,scattered clouds
18,Rovaniemi,FI,66.5,25.7167,26.01,93,90,8.05,overcast clouds
19,Kenai,US,60.5544,-151.2583,-10.97,80,1,0.0,haze
20,Brae,GB,60.3964,-1.353,46.31,78,100,13.53,overcast clouds
21,Bluff,NZ,-46.6,168.3333,45.81,86,36,2.24,scattered clouds
22,Klaksvik,FO,62.2266,-6.589,43.72,73,100,18.79,overcast clouds
23,Pevek,RU,69.7008,170.3133,-33.75,96,25,2.51,scattered clouds
24,Tonota,BW,-21.4833,27.4833,85.87,26,95,4.9,overcast clouds
25,San Luis,AR,-33.295,-66.3356,61.75,87,100,12.88,overcast clouds
